Chalmers University of Technology,CS4236,Cryptography Theory & Practice,4,TDA352,Cryptography,7.5
Chalmers University of Technology,CS3241,Computer Graphics,4,TDA362,Computer graphics,7.5
Chalmers University of Technology,CS4215,Programming Language Implementation,4,EDA387,Computer networks,7.5
Chalmers University of Technology,CS3220,Computer Architecture,4,DAT105,Computer architecture,7.5
Chalmers University of Technology,CS2104,Programming Language Concepts,4,DAT151,Programming language technology,7.5
Chalmers University of Technology,CS3240,Interaction Design,4,TDA287,Human - computer interaction,5
Chalmers University of Technology,CS3234,Logic for Proofs and Programs,4,DAT60,Logic in computer science,7.5
Chalmers University of Technology,CS2106,Intro to Operating Systems,4,EDA093,Operating Systems,7.5
Chalmers University of Technology,IS3261,Mobile Apps Development for En,4,CIU196,Mobile computing - Design and implementation,7.5
Chalmers University of Technology,CS2102,Database Systems,4,TDA357,Databases,7.5
Chalmers University of Technology,CS3240,Interaction Design,4,TDA289,Human - computer interaction,7.5
Chalmers University of Technology,CS3244,Machine Learning,4,DAT340,Applied Machine Learning,7.5
Chalmers University of Technology,BT3102,Computational Methods for Busi,4,MVE440,Statistical Learning for Big Data,7.5
Chalmers University of Technology,CS3243,Introduction to Artificial Intelligence,4,TIN175,Introduction to Artificial intelligence,7.5
Chalmers University of Technology,AR4101,Design 7,8,ARK127,Urban and architectural design,22.5
Chalmers University of Technology,AR5011,Research Methodology,4,ARK461,Creactive Writing Theory and Methodology in Architecture,7.5
Chalmers University of Technology,UD5221,Urban Design Theory and Disco,4,AMU019,Sustainable Development and the Design Professions,7.5
Chalmers University of Technology,AR5321,Advanced Architectural Integra,4,ARK395,Contemporary Challenges,7.5
Chalmers University of Technology,IE4240,Project Management,5,IBB135,Project Management,7.5
Chalmers University of Technology,IE4015,Department Exchange Module,5,IPE062,Risk Management and Safety,7.5
Chalmers University of Technology,IE4240,Project Management,4,IPR010,Managing Development Projects,7.5
Chalmers University of Technology,EX4890,UEM Exchange Module,5,IEK312,Quality Management,7.5
Chalmers University of Technology,IE4115,Department Exchange Module,5,ITR585,Management of physical distribution,7.5
Chalmers University of Technology,ST3248,Statistical Learning I,4,MVE440,Statistical learning for big data,7.5
Chalmers University of Technology,ST2132,Mathematical Statistics,4,MVE155,Statistical inference,7.5
Chalmers University of Technology,CM3201,Principles of Chemical Process,4,KBT1100,Advanced chemical engineering and process analytical technology,7.5
Chalmers University of Technology,CM3212,Transition Metal Chemistry,4,KBT030,Applied Coordination Chemistry,7.5
Chalmers University of Technology,CM3221,Organic Synthesis: The Disconn,4,KTB160,Advanced organic synthesis,7.5
Chalmers University of Technology,CM3222,Organic Reaction Mechanisms,4,KBT036,Advanced organic chemistry,7.5
