PC4268,Biophy Instru &Biomo'lar Elec
PC4991,Exchange Enrichment Module
PF2102,Structural Systems
PF2104,
PF2105,
PF2106,
PF2108,Project Cost Management
PF2201,
PF2203,Quality and Productivity Mgmt
PF2204,
PF2401,
PF2502,Development Technology & Mgmt
PF2504,Materials Technology
PF3201,Measurement (Specialist Works)
PF3206,
PF3301,Maintainability of Facilities
PF3302,
PF3305,Facilities Planning and Desig
PF3501,
PF4103,
PF4202,"Safety, Health and Environment"
PF4206,Building Information Modelling
PF4207,
PF4301,
PF4305,Green Development
PF4307,
PR1991,Exchange Enrichment Level 1000
PR2115,Medicinal Chemistry for Drug D
PR2991,Exchange Enrichment Module
PR2994,Exchange Enrichment Level 2000
PS1721,Department exchange module
PS2203,Ancient Western Pol Thought
PS2204,Modern Western Pol Thought
PS2232,Islamic and Hindu Pol Thought
PS2233,Political Ideologies
PS2234,Intro to Comparative Politics
PS2236,European Politics
PS2237,Intro to International Relatns
PS2238,Int'l Politics of NE Asia
PS2239,Foreign Policy and Diplomacy
PS2240,Intro to Public Administration
PS2245,Southeast Asian Politics
PS2246,
PS2248,Chinese Politics
PS2250,Int'l Politics of SE Asia
PS2253,
PS2254,American Gvrnmnt and Politics
PS2255,Politics of the Middle East
PS2256,Politics on Screen
PS2257,Contemporary African Politics
PS2258,Introduction to Political Theo
PS2701,Political Science Exchange Mod
PS2702,Political Science Exchange Mod
PS2703,POLITICAL SCIENCE EXCHANGE MOD
PS2706,
PS2711,Department Exchange Module
PS2712,Department exchange module
PS2713,Department exchange module
PS2715,
PS2721,Department Exchange Module
PS2722,Department Exchange Module
PS2741,Department Exchange Module
PS2742,Department Exchange Module
PS2743,Department Exchange Module
PS2744,Department Exchange Module
PS2745,Department Exchange Module
PS2766,
PS2843,Department exchange module
PS3232,Democratic Theory
PS3233,Political and Int'l Ethics
PS3236,Ethnicity & Relgn in Asian Pol
